Time,Content
2019-01-04,外资外逃这是最好的，不等他们在股票大涨后割掉更多的韭菜，现在国际的股票大跌，他们要把资金抽出去救自己。现在我们自己人购买才是最好的，以后等涨的时候，他们入市场翻10倍后，我们才走

2019-01-04,草尼就是一废柴股

2018-12-27,待到秋来九月八，我花开后百花杀。冲天香阵破长安，满城尽带黄金甲一一一咏菊(永局)

2019-01-04,一个人永远不可能靠做空自己的祖国而成功。价值会迟到，但永远不会缺席！历史会记住，人民会记住，韭菜会记住，太阳会从东方升起！

2019-01-04,最垃圾的股非你莫属

2019-01-04,涨停板也没用

2019-01-04,从今天开始只加仓，只加仓加仓，加仓，三年都不再减仓，做T不算减仓。

2019-01-04,谢谢不杀之恩！再杀就被平仓啦！

2019-01-04,亏了30个点 什么时候才能回本[哭][哭][哭][哭][哭][哭][哭][哭][

2019-01-04,翻倍才回本 我
2019-01-04,这两年买什么亏什么 另外一个亏50个点
2019-01-04,朋友别哭我依然是你心灵的归宿朋友别哭，要相信自己的路红尘中，有太多茫然痴心的追逐你的苦，我也有感触
2019-01-04,28%
2019-01-04,嗯朋友不要哭，哭有什麼用？我也跌掉了，好幾萬了。
2019-01-04,朋友别哭，天堂是你的归宿，一路走好！
2019-01-04,只跌不涨的烂股
2019-01-04,翻倍我都回不来本 哈哈哈
2019-01-04,坚守 坚定 坚持
2019-01-04,明天
2019-01-04,你涨个5分钱会死人啊
2019-01-04,卖在低点
2019-01-04,亏 50多点的不说话
2019-01-04,卖在最低点
2019-01-04,做t

2019-01-04,有没有被甩下车的来报个到

2019-01-04,收盘大跌

2019-01-04,加油方方，学学牛牛。

2019-01-04,十万手哥在哪里，冲上去涨停，今天好拉

2019-01-04,向上突破2塊7毛1。

2019-01-04,不可能，明显诱多，回调再次确认低点

2019-01-04,涨停加油！

2019-01-04,动一动了老铁，别窝着不动呀

2019-01-04,韭菜根，请你床上安息，梦吧！

2019-01-04,电子行业跟踪

2019-01-04,龙头休息是终结还是暂停@bear

2019-01-04,珍惜手中的货，一套房子变十套还是变首付你说了算

2019-01-04,哎，我就不涨，6不6。曹

2019-01-04,不到2019年9月别想反转

2019-01-04,唱多的人這麼多，一定會大跌。

2019-01-04,唱多就是不愿意卖的人多了，唱空的就是还想买更便宜股价，骂娘多就是深套的人多

2019-01-04,起名京东僵尸

2019-01-04,2.60卖出的都是什么垃圾

2019-01-04,下午定能到2.46大家不要急，也别怕

2019-01-04,2.46元，切记

2019-01-04,看看苹果，还不快跑！！
2019-01-04,机构正在拉高出货，下周追随美股暴跌

2019-01-04,东方财富软件，手机版本能不能把K线横屏显示？谁知道呀？指点一下

2019-01-04,我要的
2019-01-04,我晓得
2019-01-04,点日K线图，中间有 放大 缩小 全屏 三个符号。
2019-01-04,分时K线图偏右中下方有一个蓝色小圆圈放大全屏符号。

2019-01-04,今天任何事都有可能哈

2019-01-04,现在股市，谁进谁死

2019-01-04,这种股很容易重新上市

2019-01-04,大盘涨停来一个 2019就会是小牛市

2019-01-04,这股跌透还早

2019-01-04,你是魔鬼？

2019-01-04,京東方a我去。等我吃過飯再來看你。

2019-01-04,没人抄底京东方，竟然

2019-01-04,今天垫上了棺材板，不让猛跌

2019-01-02,每一波行情~都是叫骂声中产生~然后再欢呼中退去[大笑][大笑][大笑]！！！

2019-01-02,就你S.B在这乱叫
2019-01-02,sb的定义：嘴里经常含着sb二字的人~才是真正的sb跪安吧！！！
2019-01-02,爱打板~就别观注~京东方！！！
2019-01-03,不以涨喜~不以跌悲永远做一名~开心快乐的玩股者(即~理性中长线投资者)祝2019年~理性中长线散户投资者~开心快乐~每一天！！！
2019-01-04,盘中~快乐！！！

2019-01-04,股灾来了，快跑啊

2019-01-04,真以为跌两分钱就不是肉啊，一根萝卜可以买你两股了。

2019-01-04,跑吧应该是要干到4一下[想一下]

2019-01-04,這個瘟股上下拉鋸，連逃跑的機會也沒有。你想要做題也沒有機會呀。

2019-01-04,京东方那么多专利，那么多第一，现在竟然伦落到这种地步

2019-01-04,嗯，下周會有大的丈夫。在大戰之前一定會有一次暴跌。

2019-01-04,天天就是一副活不活死不死的的样子

2019-01-04,利好也不涨

2019-01-04,瞎了眼了，买这破股

2019-01-04,今天又暴跌呀。上天保佑今天我有逃跑的機會呀。[大笑][大笑][大笑][大笑][大

2019-01-04,这个股股价 估计2块左右会 稳住，京东方股价是对高管们套现做出的回应。吸血王。

2019-01-04,打压股价 哎

2019-01-04,东方通信已结束，京东方开始启航888888888888

2019-01-04,超级大垃圾

2019-01-04,

2019-01-03,需要一个涨停提升士气

2019-01-03,快了
2019-01-04,支持

2019-01-04,快押棺材板

2018-12-22,2018年京东方从最高价6.6元跌到现在的2.6元，是有内在逻辑还是意外？ 如果

2018-12-22,楼主也是对这货绝望了吧？
2018-12-22,退市也有可能。一切皆有可能！
2018-12-22,我已于10月16日被强制平仓，强平价格2.6元，极其惨烈。正在筹资再战，现在这个价格，想抄底，我看还早
2018-12-22,牛市融资锦上添花，熊市融资雪上加霜。
2018-12-22,说的有道理。
2019-01-03,京东方可能又会被ST的

2019-01-04,京东方A(000725)融资融券信息(01-03)

2019-01-04,京东方A01月03日获深股通减仓95.13万股

2019-01-04,有本事跌到1.6

2019-01-04,厉害了 2019 看好京东方

2019-01-04,"""韭菜根克星~先生""：你们十次预测九次败[俏皮][俏皮][俏皮]竟然~还有脸出来"

2019-01-04,美股跌3个点，今天大盘怎么跟?

2019-01-04,韭菜根无面目见人逃跑啦！

2019-01-04,跌到2.3元再看吧，跌破2.3元就不能买了。

2019-01-03,抓紧空仓，迎接明天暴跌

2019-01-03,
2019-01-03,明天2.52保卫战又开始了，你们加油＾０＾~。

2019-01-03,苹果供应商都完蛋了

2019-01-03,2018年中国显示器件行业上市公司市值排行榜

2019-01-03,
2019-01-03,
2019-01-03,京东方也很可怜，它当前的市值还抵不上它准备投资的两条产线。
2019-01-03,东旭光电靠数不清的增发和债转股增大市值的假龙三

2018-12-26,要破2.47卖卖卖

2018-12-26,
2018-12-27,
2018-12-27,都不看好了，，，，，，，
2018-12-27,
2019-01-02,
2019-01-02,卖
2019-01-03,
2019-01-03,傻逼一个
2019-01-03,欠骂的臭b

2019-01-03,"盘点2018,工资较上年少了4万，股市亏了760万！到手货币7万，叫人怎么活？"

2019-01-03,2019年京东方应该有一波行情，关注屏市场

2019-01-03,今天开始建仓！ 再跌再进！只进不出了！ [微笑][微笑][微笑]

2019-01-03,这么便宜的筹码，蠢货主力机构们不吸？

2019-01-03,主力还没买足

2019-01-03,晚安：股市~就是资本游戏[俏皮][俏皮][俏皮]股市资本搏奕[俏皮][俏皮][俏

2019-01-03,京东方A庄家还在测试月线上升趋势线的支撑吧

2019-01-03,跌了4块钱了！还在跌

2019-01-03,6.6圆去年11月购入。何时回本？？？

2019-01-03,前年2017年11月
2019-01-03,多少股
2019-01-03,多少本现在
2019-01-03,2025实现中华民族的伟大复兴的时候。那时候会有牛市。在等7/8年能回本
2019-01-03,明天
2019-01-03,猴年马月
2019-01-03,这么高啊
2019-01-03,节哀
2019-01-03,踢踢就是踢不踢飞就可以
2019-01-03,今天2.58卖 2.60接回啦
2019-01-03,开玩笑的！对不？

2019-01-03,认真的问你个事 如果我们透露主力建仓信息 盈利后能做到诚信分成吗

2019-01-03,认真的问你一个事情，有主力建仓信息你干嘛要透露，自己赚钱就好，何必透露出来增加自己风险，减少自己利润，等别人给你分成呢？
2019-01-03,京东方的风险还是很大的，盈利跟不上，产业不创新，只是国家战略的一颗棋子。谨慎买入，珍惜自己的血汗钱
2019-01-03,合作追求双赢共赢
2019-01-03,你怎么知道
2019-03-14,要跟上吗

2019-01-03,京东方合肥医院已经开诊[俏皮][俏皮][俏皮]但治不了百病[俏皮][俏皮][俏皮

2019-01-03,睌间~快乐！！！

2019-01-03,这股有多少人拿来作为打新跳板？？？？？

2019-01-03,是哦 不说还不知道 这种织布机还有这种用处

2019-01-03,中国鼎益丰：聚了又散，散了又聚，金融资本，亦复如斯

2019-01-03,明天要暴跌。能跑你就快跑，不能跑你就臥倒。

2019-01-03,吓病了
2019-01-03,这位股友，你病的不轻，这股一下子跌不了多少，也一下子涨不了多少

2018-10-03,致谢~骂街者:17年本人~从建仓，守仓，到成功逃顶~一步步走过来，都要感谢~骂街

2018-10-03,各位所谓的大师老师~及你们的马甲们，如果你们还想骂~请继续。
2018-10-03,加油啊。
2018-10-03,笑~天下可笑之事，笑~天下可笑之人。
2018-10-03,
2018-10-03,
2018-10-04,早安。
2018-10-04,晚间~快乐。
2018-10-05,你们~继续啊。
2018-10-05,
2018-10-05,
2018-10-05,笑战~熊市，独战~群丑，笑傲~股市。
2018-10-05,
2018-10-05,与邪恶势利~斗争到底。
2018-10-05,来点营养的
2018-10-05,人民生活变好啦~以前很多有营养的东西~现在都变成了垃圾食品~以前很多没营养的食品反而变成了宝送您一句终告~无论股市还是股吧~所谓有营养的东西~都是在扯蛋。想学习投资知识~去线下学习~这里只适合玩耍。而且~先把心态学好~再学技术~这也是终告。
2018-10-05,传播~正能量，与邪恶势利~斗争到底。
2018-10-05,睌安~88明见。祝理性投资者(即中长线投资者)节日快乐。
